method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,SonarSource@sonarqube,108001136,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,80865507,rtptorrent,2,0,0.5,0.0
RETECS,SonarSource@sonarqube,87630658,rtptorrent,4,0,0.625,0.0
RETECS,SonarSource@sonarqube,107116675,rtptorrent,240,0,0.9979166666666667,0.0
RETECS,SonarSource@sonarqube,78708359,rtptorrent,54,0,0.9722222222222223,0.0
RETECS,SonarSource@sonarqube,55049657,rtptorrent,290,0,0.9672413793103448,0.0
RETECS,SonarSource@sonarqube,54987709,rtptorrent,290,0,0.0017241379310344827,0.0
RETECS,SonarSource@sonarqube,144398845,rtptorrent,1388,0,0.9974783861671469,0.0
RETECS,SonarSource@sonarqube,135905816,rtptorrent,7,0,0.5714285714285714,0.0
RETECS,SonarSource@sonarqube,75112965,rtptorrent,3,0,0.6666666666666666,0.0
RETECS,SonarSource@sonarqube,94179552,rtptorrent,1415,0,0.9989399293286219,0.0
RETECS,SonarSource@sonarqube,82181952,rtptorrent,4,0,0.25,0.0
RETECS,SonarSource@sonarqube,55629278,rtptorrent,927,0,0.7451995685005394,0.0
RETECS,SonarSource@sonarqube,69757225,rtptorrent,2,0,0.75,0.0
RETECS,SonarSource@sonarqube,106521441,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,82511760,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,73219343,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,80920241,rtptorrent,5,0,0.7,0.0
RETECS,SonarSource@sonarqube,88072630,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,139139839,rtptorrent,276,0,0.7481884057971014,0.0
RETECS,SonarSource@sonarqube,55109058,rtptorrent,290,0,0.11206896551724138,0.0
RETECS,SonarSource@sonarqube,82184206,rtptorrent,1348,0,0.934841740850643,0.0
RETECS,SonarSource@sonarqube,129453745,rtptorrent,18,0,0.13888888888888895,0.0
RETECS,SonarSource@sonarqube,73345900,rtptorrent,2,0,0.5,0.0
RETECS,SonarSource@sonarqube,139826580,rtptorrent,8,0,0.8125,0.0
RETECS,SonarSource@sonarqube,55172189,rtptorrent,927,0,0.9240560949298814,0.0
RETECS,SonarSource@sonarqube,118513813,rtptorrent,1283,0,0.666796570537802,0.0
RETECS,SonarSource@sonarqube,54924772,rtptorrent,290,0,0.739655172413793,0.0
RETECS,SonarSource@sonarqube,136158883,rtptorrent,8,0,0.71875,0.0
RETECS,SonarSource@sonarqube,105618656,rtptorrent,360,0,0.9310185185185185,0.0
RETECS,SonarSource@sonarqube,56556720,rtptorrent,933,0,0.8187873220027562,0.0
RETECS,SonarSource@sonarqube,139275375,rtptorrent,10,0,0.75,0.0
RETECS,SonarSource@sonarqube,55960566,rtptorrent,932,0,0.7754828326180258,0.0
RETECS,SonarSource@sonarqube,54734501,rtptorrent,290,0,0.739655172413793,0.0
RETECS,SonarSource@sonarqube,54860045,rtptorrent,290,0,0.0017241379310344827,0.0
RETECS,SonarSource@sonarqube,82517881,rtptorrent,1,0,1.0,0.0
RETECS,SonarSource@sonarqube,69310224,rtptorrent,1258,0,0.4598569157392686,0.0
